,post_id,topic_id
0,285247,46
1,285246,46
2,285245,46
3,285245,108
4,285245,268
5,285245,352
6,285244,164
7,285244,352
8,285243,46
9,285243,272
10,285242,90
11,285242,268
12,285241,21
13,285241,46
14,285241,237
15,285240,46
16,285240,352
17,285239,2
18,285239,8
19,285239,104
20,285239,250
21,285238,44
22,285238,164
23,285237,267
24,285237,272
25,285135,94
26,285135,203
27,284529,2
28,284529,8
29,284529,142
30,284529,204
31,285236,108
32,285236,232
33,285236,268
34,285235,164
35,284990,164
36,284990,352
37,284839,46
38,284839,267
39,284839,352
40,285234,34
41,285234,46
42,285234,93
43,285234,352
44,285138,152
45,285138,267
46,285194,267
47,285194,268
48,285194,352
49,285214,39
50,285232,46
51,285232,93
52,285232,352
53,285231,46
54,285231,204
55,285230,164
56,285228,46
57,285228,232
58,285228,352
59,285227,74
60,285226,46
61,285226,352
62,285225,164
63,285224,267
64,285224,268
65,285224,352
66,285223,2
67,285223,104
68,285223,164
69,285223,278
70,285222,46
71,285222,164
72,285218,46
73,285216,268
74,285217,21
75,285217,46
76,285217,237
77,285215,164
78,285098,352
79,285032,36
80,285032,80
81,285032,145
82,285032,146
83,285032,152
84,285032,159
85,285032,352
86,285032,353
87,285163,46
88,285163,205
89,285163,352
90,285163,353
91,285046,64
92,285046,125
93,285046,164
94,285046,230
95,285193,85
96,285193,206
97,285193,237
98,285193,247
99,285193,352
100,285170,46
101,285168,93
102,285133,2
103,285133,8
104,285133,44
105,285133,76
106,285133,353
107,285180,46
108,285180,60
109,285180,71
110,285180,164
111,284777,74
112,284777,261
113,284777,352
114,284777,435
115,285213,44
116,285212,164
117,285211,102
118,285211,128
119,285211,164
120,285210,46
121,285210,96
122,285209,267
123,285208,46
124,285206,8
125,285205,46
126,285204,2
127,285204,8
128,285204,46
129,285202,74
130,285201,93
131,285200,258
132,285199,164
133,285198,93
134,285197,164
135,285197,267
136,285196,44
137,285196,267
138,285195,46
139,285192,21
140,285192,44
141,285191,2
142,285191,251
143,285169,44
144,285169,46
145,285169,90
146,285169,93
147,285169,352
148,285187,41
149,285186,164
150,285185,8
151,285185,46
152,285184,44
153,285184,46
154,285184,73
155,285184,267
156,285184,352
157,285183,164
158,285182,21
159,285182,90
160,285182,204
161,285181,46
162,285181,68
163,285181,353
164,285176,46
165,285176,352
166,285175,8
167,285167,8
168,285167,12
169,285167,46
170,285167,205
171,285167,249
172,285167,362
173,285162,2
174,285161,46
175,285159,46
176,285159,93
177,285159,231
178,285158,204
179,285158,247
180,285158,267
181,285158,352
182,285157,45
183,285157,352
184,285001,43
185,285155,44
186,285155,267
187,285155,352
188,285153,93
189,284810,8
190,284810,161
191,284810,353
192,285146,50
193,285146,352
194,285146,372
195,285146,373
196,285146,375
197,284998,111
198,284998,230
199,285145,8
200,285145,232
201,285145,268
202,285145,352
203,285144,2
204,285144,268
205,285144,352
206,285142,237
207,285142,352
208,285139,21
209,285139,353
210,284867,278
211,285137,44
212,285137,46
213,285137,93
214,285130,93
215,285130,352
216,285129,21
217,285129,93
218,285129,352
219,285128,93
220,285064,34
221,285064,212
222,285064,352
223,285064,374
224,285127,2
225,285127,8
226,285127,161
227,285127,372
228,284840,44
229,284840,93
230,284840,204
231,284840,372
232,284870,93
233,284870,268
234,285031,46
235,285097,267
236,285097,272
237,285097,352
